name,component,status,selection_eligible,cv_ndcg_mean,cv_ndcg_std,cv_mrr_mean,cv_mrr_std,overall_ndcg,overall_mrr,latency_ms_mean,latency_ms_p95,complexity,model_backend,error
phase3-base,base,ok,True,0.828277652340504,0.02889894958081702,0.8976190476190476,0.03811590048114479,0.828277652340504,0.8976190476190476,5.731097684197483,6.072199955815449,0,,
char-400-80,chunking,ok,True,0.7589978595264556,0.05115345627917299,0.8493650793650794,0.04761679888870266,0.7589978595264555,0.8493650793650793,2.6802591358621917,3.026343579404056,1,,
char-600-100,chunking,ok,True,0.8248907707455686,0.03238526915968731,0.8955555555555555,0.034497253059220495,0.8248907707455686,0.8955555555555555,4.138974012208304,4.395085747819394,1,,
char-800-150,chunking,ok,True,0.8264089760676806,0.030976246656721804,0.8953174603174603,0.03447807589337239,0.8264089760676806,0.8953174603174603,4.201275215018541,4.468454222660512,1,,
char-1200-200,chunking,ok,True,0.8294994408143657,0.027447780188982022,0.9119047619047619,0.04462477587980698,0.8294994408143657,0.9119047619047619,5.978715299473454,6.382302421843633,1,,
paragraph-aware,chunking,ok,True,0.8263190025600586,0.031094889101232478,0.8961111111111111,0.033220140387831776,0.8263190025600586,0.8961111111111111,4.240566262576197,4.5042288198601454,1,,
heading-aware,chunking,ok,True,0.7969907823372442,0.029067591350346526,0.8725396825396825,0.04392439506394408,0.7969907823372442,0.8725396825396825,3.586382142245947,4.0174834546633065,1,,
section-aware,chunking,ok,True,0.7965708445313708,0.029171499353917368,0.8717460317460317,0.04437239057228629,0.7965708445313708,0.8717460317460317,3.616519874915303,4.069352481747046,1,,
heading-neighbor-context,chunking,ok,True,0.6831599122954563,0.021785724811275668,0.7356349206349206,0.058340297608247584,0.6831599122954563,0.7356349206349206,9.240984971014162,9.714212530525401,2,,
instruction-none,instruction,ok,True,0.7773683680288209,0.0369033295243274,0.8498412698412698,0.04844560422169527,0.7773683680288209,0.8498412698412698,5.4311548054794825,5.7009125128388405,1,,
instruction-precise,instruction,ok,True,0.8237862093051741,0.03172378413358835,0.8961111111111111,0.04125488129345012,0.8237862093051741,0.8961111111111111,5.646111104925651,5.989162728656083,1,,
instruction-semantic,instruction,ok,True,0.8267297098960126,0.02761253034228408,0.9063492063492063,0.031129934376912992,0.8267297098960126,0.9063492063492063,5.655312141226161,5.945814406732097,1,,
instruction-context,instruction,ok,True,0.8153248224935151,0.03370443384145434,0.8902380952380953,0.040624223542398634,0.8153248224935151,0.8902380952380953,5.654454392580582,5.93169103958644,1,,
instruction-multi,instruction,ok,True,0.8049336545349334,0.03358619565444764,0.8755555555555555,0.04735016680857844,0.8049336545349334,0.8755555555555555,5.600385584070215,5.875585216563195,1,,
instruction-routed,instruction,ok,True,0.8260413450362826,0.02924471441574364,0.8996031746031746,0.037153539367445795,0.8260413450362827,0.8996031746031746,5.6499147471705715,5.9440420009195805,1,,
bm25-k1-0.9-b0.50,bm25,ok,True,0.8297146923963982,0.028109278896494904,0.9038888888888889,0.03249551784120701,0.8297146923963982,0.9038888888888889,5.740181735295447,6.064668903127313,1,,
bm25-k1-1.5-b0.75,bm25,ok,True,0.8265206131468278,0.030569520204709315,0.895,0.040149318176813255,0.8265206131468278,0.895,5.760875034944287,6.090964918257669,1,,
bm25-k1-1.8-b0.60,bm25,ok,True,0.8291325286582113,0.02776694604918928,0.8983333333333333,0.03736940811866476,0.8291325286582113,0.8983333333333333,5.7425267950055146,6.063666834961623,1,,
bm25-technical-tokens,bm25,ok,True,0.8259659437775295,0.029354200772645386,0.895,0.04062887479825319,0.8259659437775294,0.895,5.7401377203253405,6.01603944087401,1,,
bm25-technical-k1-1.5-b0.60,bm25,ok,True,0.8303157167879377,0.027116675936717946,0.8988888888888888,0.03688845859378028,0.8303157167879377,0.8988888888888888,5.762510352014076,6.069962651235983,2,,
fusion-0.9-0.1,fusion,ok,True,0.8261865217802299,0.03149091523192277,0.9084920634920635,0.04184850721422999,0.8261865217802299,0.9084920634920635,5.621115459195737,5.934822408016771,1,,
fusion-0.8-0.2,fusion,ok,True,0.8317027318997806,0.03188535220894517,0.9128571428571428,0.03800965916674714,0.8317027318997806,0.9128571428571428,5.57504423306368,5.895735451485962,1,,
fusion-0.6-0.4,fusion,ok,True,0.8119860919313763,0.03264040379202263,0.882063492063492,0.04486366907894395,0.8119860919313763,0.8820634920634921,5.6530293775722384,5.931229225825518,1,,
fusion-0.5-0.5,fusion,ok,True,0.7899038153337739,0.030324585185934,0.8568253968253968,0.03886004761422057,0.7899038153337739,0.8568253968253968,5.5958914808884614,5.893039325019345,1,,
fusion-weighted-rrf-0.7-0.3,fusion,ok,True,0.8068564813518391,0.037060575689986996,0.8922222222222222,0.043636794291911224,0.8068564813518391,0.8922222222222222,5.560167448129505,5.877952091395855,2,,
instruction-learned-routing,instruction,ok,True,0.828277652340504,0.02889894958081702,0.8976190476190476,0.03811590048114479,0.828277652340504,0.8976190476190476,5.761102204477148,6.115268642315641,2,,
lambdamart-vs-fixed-fusion,lambdamart,ok,True,0.8267751216177484,0.02876967785826826,0.9167460317460318,0.04410185421241996,0.8267751216177482,0.9167460317460318,0.018839456606656313,0.030052725924178948,3,xgboost-lambdamart,
phase5-combined-selected-components,combination,ok,True,0.8330456875318416,0.02942707327136307,0.9206349206349206,0.036456139929701134,0.8330456875318416,0.9206349206349206,5.8833728511152525,6.257543800165877,5,,
