system,model,chunk_count,document_count,recall@5,precision@5,mrr,ndcg,latency_ms_mean,latency_ms_p95,relative_recall@5_vs_e5_percent,relative_precision@5_vs_e5_percent,relative_mrr_vs_e5_percent,relative_ndcg_vs_e5_percent
original-e5-dense,intfloat/multilingual-e5-base,2221,50,0.784,0.17120000000000002,0.6297333333333334,0.6361211504049341,10.532306638546288,11.069458187557757,0.0,0.0,0.0,0.0
phase3-qwen3-hybrid,Qwen/Qwen3-Embedding-0.6B,2221,50,0.936,0.19840000000000002,0.8121333333333334,0.8080580194807938,10.27583628334105,10.873208404518664,19.387755102040817,15.887850467289718,28.964641117933514,27.028950219059727
phase5-winner,Qwen/Qwen3-Embedding-0.6B,2221,50,0.936,0.19840000000000002,0.8121333333333334,0.8080580194807938,14.452991031110287,21.313391346484423,19.387755102040817,15.887850467289718,28.964641117933514,27.028950219059727
